[2013-10-26 10:19:54] EDIT Intro2DB/views/default/show_bill.html: 0
[2013-10-26 10:20:36] EDIT Intro2DB/views/default/show_bill.html: 0
[2013-10-26 10:23:36] EDIT Intro2DB/views/default/show_bill.html: 0
[2013-10-26 10:24:16] EDIT Intro2DB/views/default/show_bill.html: 0
[2013-10-26 10:24:39] EDIT Intro2DB/views/default/show_bill.html: 0
[2013-10-26 10:25:18] EDIT Intro2DB/views/default/show_bill.html: 0
[2013-10-26 10:25:45] EDIT Intro2DB/views/default/show_bill.html: 0
[2013-10-26 10:26:00] EDIT Intro2DB/views/default/show_bill.html: 0
[2013-10-26 10:26:24] EDIT Intro2DB/views/default/show_bill.html: 0
[2013-10-26 10:26:42] EDIT Intro2DB/views/default/show_bill.html: 0
[2013-10-26 10:27:22] CREATE invoice.html: 0
[2013-10-26 10:28:26] EDIT Intro2DB/views/invoice.html: -2
[2013-10-26 10:31:13] EDIT Intro2DB/controllers/default.py: 3
[2013-10-26 10:31:40] EDIT Intro2DB/controllers/default.py: 1
[2013-10-26 10:34:48] EDIT Intro2DB/controllers/default.py: 0
[2013-10-26 10:35:38] EDIT Intro2DB/views/default/show_bill.html: 0
[2013-10-26 10:35:43] EDIT Intro2DB/views/default/show_bill.html: 0
[2013-10-26 10:36:13] EDIT Intro2DB/views/default/show_bill.html: 0
[2013-10-26 10:37:05] CREATE default/invoice.html: 0
[2013-10-26 10:39:03] EDIT Intro2DB/controllers/default.py: 0
[2013-10-26 10:39:17] EDIT Intro2DB/controllers/default.py: 0
[2013-10-26 11:00:27] EDIT Intro2DB/controllers/default.py: 1
[2013-10-26 11:00:27] EDIT Intro2DB/controllers/default.py: 0
[2013-10-26 11:01:46] EDIT Intro2DB/controllers/default.py: 1
[2013-10-26 11:02:15] EDIT Intro2DB/controllers/default.py: 0
[2013-10-26 11:02:50] EDIT Intro2DB/controllers/default.py: -1
[2013-10-26 11:03:23] EDIT Intro2DB/views/default/show_bill.html: 0
[2013-10-26 11:03:28] EDIT Intro2DB/views/default/show_bill.html: 0
[2013-10-26 11:06:11] EDIT Intro2DB/controllers/default.py: 4
[2013-10-26 11:07:01] EDIT Intro2DB/controllers/default.py: 0
[2013-10-26 12:02:08] EDIT Intro2DB/controllers/default.py: 28
[2013-10-26 12:02:41] EDIT Intro2DB/controllers/default.py: 1
[2013-10-26 12:02:55] EDIT Intro2DB/controllers/default.py: 0
[2013-10-26 12:04:55] EDIT Intro2DB/controllers/default.py: -24
[2013-10-26 12:04:57] EDIT Intro2DB/controllers/default.py: 0
[2013-10-26 12:07:18] EDIT Intro2DB/controllers/default.py: 0
[2013-10-26 12:07:28] EDIT Intro2DB/controllers/default.py: 0
[2013-10-26 12:07:53] EDIT Intro2DB/views/default/invoice.html: -2
[2013-10-26 12:09:30] EDIT Intro2DB/views/default/invoice.html: 77
[2013-10-26 12:09:36] EDIT Intro2DB/views/default/invoice.html: 0
[2013-10-26 12:10:57] EDIT Intro2DB/controllers/default.py: 3
[2013-10-26 12:11:01] EDIT Intro2DB/controllers/default.py: 0
[2013-10-26 12:11:23] EDIT Intro2DB/controllers/default.py: 0
[2013-10-26 12:12:10] EDIT Intro2DB/controllers/default.py: 0
[2013-10-26 12:23:41] EDIT Intro2DB/views/default/show_bill.html: 2
[2013-10-26 12:25:52] EDIT Intro2DB/views/default/show_bill.html: -17
[2013-10-26 12:26:38] EDIT Intro2DB/views/default/show_bill.html: 0
[2013-10-26 12:29:38] EDIT Intro2DB/views/default/show_bill.html: 1
[2013-10-26 12:31:59] EDIT Intro2DB/views/default/show_bill.html: 6
[2013-10-26 12:32:52] EDIT Intro2DB/views/default/show_bill.html: -1
[2013-10-26 12:34:59] EDIT Intro2DB/views/default/show_bill.html: 6
[2013-10-26 12:36:06] EDIT Intro2DB/views/default/show_bill.html: 3
[2013-10-26 12:36:46] EDIT Intro2DB/views/default/show_bill.html: -3
[2013-10-26 12:37:09] EDIT Intro2DB/views/default/show_bill.html: 0
[2013-10-26 12:37:44] EDIT Intro2DB/views/default/show_bill.html: 1
[2013-10-26 12:38:27] EDIT Intro2DB/views/default/show_bill.html: 2
[2013-10-26 12:38:40] EDIT Intro2DB/views/default/show_bill.html: 1
[2013-10-26 12:38:44] EDIT Intro2DB/views/default/show_bill.html: 1
[2013-10-26 12:38:47] EDIT Intro2DB/views/default/show_bill.html: 1
[2013-10-26 12:39:12] EDIT Intro2DB/views/default/show_bill.html: -3
[2013-10-26 12:39:23] EDIT Intro2DB/views/default/show_bill.html: 0
[2013-10-26 12:39:36] EDIT Intro2DB/views/default/show_bill.html: 0
[2013-10-26 12:39:55] EDIT Intro2DB/views/default/show_bill.html: 0
[2013-10-26 12:40:08] EDIT Intro2DB/views/default/show_bill.html: 0
[2013-10-26 12:41:52] EDIT Intro2DB/views/default/invoice.html: 0
[2013-10-26 12:42:36] EDIT Intro2DB/views/default/invoice.html: 0
[2013-10-26 12:42:57] EDIT Intro2DB/views/default/invoice.html: 0
[2013-10-26 12:43:58] EDIT Intro2DB/views/default/invoice.html: 0
[2013-10-26 12:44:39] EDIT Intro2DB/views/default/invoice.html: 1
[2013-10-26 12:45:32] EDIT Intro2DB/views/default/invoice.html: 1
[2013-10-26 12:45:37] EDIT Intro2DB/views/default/invoice.html: 0
[2013-10-26 12:50:47] EDIT Intro2DB/views/default/invoice.html: 1
[2013-10-26 12:52:02] EDIT Intro2DB/views/default/show_bill.html: 1
[2013-10-26 12:52:18] EDIT Intro2DB/views/default/show_bill.html: 0
[2013-10-26 12:52:49] EDIT Intro2DB/views/default/show_bill.html: 0
[2013-10-26 12:53:05] EDIT Intro2DB/views/default/show_bill.html: 0
[2013-10-26 12:53:54] EDIT Intro2DB/views/default/show_bill.html: 0
[2013-10-26 12:54:42] EDIT Intro2DB/views/default/invoice.html: 0
[2013-10-26 12:55:44] EDIT Intro2DB/views/default/invoice.html: -1
[2013-10-26 12:57:03] EDIT Intro2DB/views/default/invoice.html: 1
[2013-10-26 12:57:10] EDIT Intro2DB/views/default/invoice.html: 0
[2013-10-26 12:58:09] EDIT Intro2DB/views/default/show_bill.html: 1
[2013-10-26 12:58:45] EDIT Intro2DB/views/default/show_bill.html: -1
[2013-10-26 13:02:07] EDIT Intro2DB/views/default/show_bill.html: 1
[2013-10-26 13:02:18] EDIT Intro2DB/views/default/show_bill.html: -1
[2013-10-26 13:03:24] EDIT Intro2DB/views/default/show_bill.html: 0
[2013-10-26 13:03:34] EDIT Intro2DB/views/default/show_bill.html: 0
[2013-10-26 13:05:23] EDIT Intro2DB/views/default/show_bill.html: 1
[2013-10-26 13:05:28] EDIT Intro2DB/views/default/show_bill.html: 0
[2013-10-26 13:05:58] EDIT Intro2DB/views/default/show_bill.html: 0
[2013-10-26 13:08:22] EDIT Intro2DB/views/default/show_bill.html: 0
[2013-10-26 13:08:25] EDIT Intro2DB/views/default/show_bill.html: 0
[2013-10-26 13:08:40] EDIT Intro2DB/views/default/show_bill.html: 0
[2013-10-26 13:08:42] EDIT Intro2DB/views/default/show_bill.html: 0
[2013-10-26 13:11:33] EDIT Intro2DB/views/default/show_bill.html: 1
[2013-10-26 13:14:46] EDIT Intro2DB/views/default/show_bill.html: -2
[2013-10-26 13:14:55] EDIT Intro2DB/views/default/show_bill.html: 0
[2013-10-26 13:15:10] EDIT Intro2DB/views/default/show_bill.html: 0
[2013-10-26 13:16:41] EDIT Intro2DB/views/default/show_bill.html: 1
[2013-10-26 13:18:08] EDIT Intro2DB/views/default/show_bill.html: 0
[2013-10-26 13:18:19] EDIT Intro2DB/views/default/show_bill.html: -1
[2013-10-26 13:18:28] EDIT Intro2DB/views/default/show_bill.html: 0
[2013-10-26 13:20:04] EDIT Intro2DB/views/default/show_bill.html: 0
[2013-10-26 13:20:15] EDIT Intro2DB/views/default/show_bill.html: 0
[2013-10-26 13:20:24] EDIT Intro2DB/views/default/show_bill.html: 0
[2013-10-26 13:23:47] EDIT Intro2DB/views/default/show_bill.html: 0
[2013-10-26 13:23:54] EDIT Intro2DB/views/default/show_bill.html: 0
[2013-10-26 13:24:03] EDIT Intro2DB/views/default/show_bill.html: 0
[2013-10-26 13:24:20] EDIT Intro2DB/views/default/show_bill.html: 0
[2013-10-26 13:28:19] UPLOAD /home/brat/web2py/applications/Intro2DB/private/layout2.html: 134
[2013-10-26 13:28:31] DELETE Intro2DB/private/layout2.html: -134
[2013-10-26 13:35:08] DELETE Intro2DB/views/plugin_layouts/layouts/Industrial.html: -542
[2013-10-26 13:40:21] EDIT Intro2DB/views/layout.html: -443
[2013-10-26 13:40:23] EDIT Intro2DB/views/layout.html: 0
[2013-10-26 13:41:51] EDIT Intro2DB/views/layout.html: 443
[2013-10-26 14:50:19] EDIT Intro2DB/views/layout.html: -7
[2013-10-26 14:50:19] EDIT Intro2DB/views/layout.html: 0
[2013-10-26 15:17:56] EDIT Intro2DB/views/plugin_layouts/layouts/TinyBlue.html: -7
[2013-10-26 15:17:59] EDIT Intro2DB/views/plugin_layouts/layouts/TinyBlue.html: 0
[2013-10-26 15:19:17] EDIT Intro2DB/static/plugin_layouts/layouts/TinyBlue/styles.css: 0
[2013-10-26 15:19:17] EDIT Intro2DB/static/plugin_layouts/layouts/TinyBlue/styles.css: 0
[2013-10-26 15:20:42] EDIT Intro2DB/static/plugin_layouts/layouts/TinyBlue/styles.css: 0
[2013-10-26 15:21:45] EDIT Intro2DB/views/layout.html: -7
[2013-10-26 15:24:03] EDIT Intro2DB/views/layout.html: 1
[2013-10-26 15:24:13] EDIT Intro2DB/views/layout.html: 0
[2013-10-26 15:26:05] EDIT Intro2DB/views/layout.html: 0
[2013-10-26 15:34:24] EDIT Intro2DB/views/layout.html: -7
[2013-10-26 15:39:40] EDIT Intro2DB/views/layout.html: 1
[2013-10-26 15:40:32] EDIT Intro2DB/views/layout.html: 0
[2013-10-26 15:40:59] EDIT Intro2DB/views/layout.html: -1
[2013-10-26 15:41:13] EDIT Intro2DB/views/layout.html: 1
[2013-10-26 15:41:58] EDIT Intro2DB/views/layout.html: 0
[2013-10-26 15:42:22] EDIT Intro2DB/views/layout.html: 0
[2013-10-26 15:42:29] EDIT Intro2DB/views/layout.html: 0
[2013-10-26 15:42:35] EDIT Intro2DB/views/layout.html: 0
[2013-10-26 15:42:43] EDIT Intro2DB/views/layout.html: 0
[2013-10-26 15:43:51] EDIT Intro2DB/views/layout.html: 0
[2013-10-26 15:44:14] EDIT Intro2DB/views/layout.html: 0
[2013-10-26 15:44:53] EDIT Intro2DB/views/layout.html: 0
[2013-10-26 15:45:07] EDIT Intro2DB/views/layout.html: 0
[2013-10-26 15:45:07] EDIT Intro2DB/views/layout.html: 0
[2013-10-26 15:46:16] EDIT Intro2DB/views/layout.html: -1
[2013-10-26 15:57:01] EDIT Intro2DB/views/default/bills.html: -6
[2013-10-26 15:57:18] EDIT Intro2DB/views/default/bills.html: 3
[2013-10-26 15:57:53] EDIT Intro2DB/views/default/bills.html: 3
[2013-10-26 15:58:07] EDIT Intro2DB/views/default/bills.html: 0
[2013-10-26 15:58:44] EDIT Intro2DB/views/default/bills.html: 0
[2013-10-26 15:58:44] EDIT Intro2DB/views/default/bills.html: 0
[2013-10-26 15:59:13] EDIT Intro2DB/views/default/bills.html: 0
[2013-10-26 16:01:26] EDIT Intro2DB/controllers/default.py: 8
[2013-10-26 16:01:29] EDIT Intro2DB/controllers/default.py: 0
[2013-10-26 16:02:20] EDIT Intro2DB/controllers/default.py: 0
[2013-10-26 16:06:13] EDIT Intro2DB/controllers/default.py: 2
[2013-10-26 16:07:19] EDIT Intro2DB/controllers/default.py: -1
[2013-10-26 16:07:47] EDIT Intro2DB/views/default/view_customers.html: 1
[2013-10-26 16:10:05] EDIT Intro2DB/controllers/default.py: 4
[2013-10-26 16:12:39] EDIT Intro2DB/controllers/default.py: 0
[2013-10-26 16:12:48] EDIT Intro2DB/controllers/default.py: 0
[2013-10-26 16:13:23] EDIT Intro2DB/controllers/default.py: 0
